latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.89338,-121.46999,335.6,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,292.94,4.71,D
49.89962,-121.48075,333.31,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,292.8,3.75,D
49.90961,-121.45879,330.14,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,295.08,3.09,D
49.91196,-121.46073,337.76,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,298.21,6.11,D
49.91242,-121.46695,334.56,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,295.9,5.18,D
49.91479,-121.46914,327.42,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,294.89,2.92,D
49.9161,-121.46748,328.71,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,296.99,5.18,D
49.91927,-121.46228,334.14,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,299.04,3.94,D
49.92963,-121.50433,342.28,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,301.48,42.73,D
49.93699,-121.50519,344.05,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,293.9,22.98,D
49.93788,-121.49706,343.82,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,297.12,8.32,D
49.93874,-121.48916,340.98,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,297.53,8.32,D
49.93958,-121.48153,348.05,0.47,0.39,2026-07-05,2118,N,VIIRS,n,2.0NRT,300.76,9.99,D
49.94296,-121.45076,355.1,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,303.05,25.74,D
49.94358,-121.44501,335.61,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,307.57,46.05,D
49.94599,-121.45717,336.97,0.47,0.4,2026-07-05,2118,N,VIIRS,n,2.0NRT,297.85,13.56,D
49.94662,-121.45139,367.0,0.47,0.4,2026-07-05,2118,N,VIIRS,h,2.0NRT,301.7,13.56,D
49.89341,-121.47213,310.28,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.76,0.91,N
49.8992,-121.48646,303.09,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,283.93,1.23,N
49.89935,-121.48962,299.01,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,281.13,0.92,N
49.90831,-121.46185,333.56,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.78,1.67,N
49.90846,-121.46516,298.68,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.02,1.44,N
49.91347,-121.4627,305.92,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.87,1.67,N
49.91363,-121.46612,304.57,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.95,1.44,N
49.91879,-121.46671,305.92,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.52,0.75,N
49.91983,-121.48908,296.46,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.4,0.88,N
49.91998,-121.49206,304.85,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.65,1.16,N
49.92011,-121.49505,309.33,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.99,1.16,N
49.92027,-121.49823,300.3,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.38,0.7,N
49.92042,-121.50161,295.23,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,284.46,0.7,N
49.92559,-121.5022,296.18,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,284.24,0.7,N
49.92575,-121.50571,296.63,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,284.33,1.35,N
49.92591,-121.50924,324.54,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.74,1.35,N
49.92608,-121.51286,298.09,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,283.1,1.54,N
49.93076,-121.50304,305.15,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,284.88,1.14,N
49.93091,-121.50632,333.82,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,288.16,1.97,N
49.93106,-121.50964,315.74,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.59,1.97,N
49.93489,-121.48205,315.42,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.84,1.36,N
49.93595,-121.50435,304.65,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.16,1.14,N
49.9361,-121.50747,298.1,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.21,1.97,N
49.93624,-121.51054,328.63,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.25,1.97,N
49.93639,-121.51369,302.94,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,284.24,3.06,N
49.93988,-121.47901,297.65,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.53,0.39,N
49.94038,-121.48955,304.8,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.71,0.79,N
49.94054,-121.49289,302.96,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.84,0.79,N
49.9407,-121.49613,307.9,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.71,1.21,N
49.94085,-121.49924,298.35,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.29,1.21,N
49.94113,-121.50531,303.17,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,285.47,0.94,N
49.94141,-121.51126,343.35,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.51,3.38,N
49.94357,-121.44885,345.23,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,288.24,3.58,N
49.94397,-121.4571,330.02,0.32,0.55,2026-07-06,0932,N,VIIRS,n,2.0NRT,286.98,3.58,N
